Spider_ID;Spider_species;Treatment;Infected_alive;Healthy_alive;Infected_eaten;Healthy_eaten;Total_infected;Total_healthy;Total_prey;ManlyAlpha
1;Pardosa sp;P.rettgeri_vs_PBS;2;3;3;2;5;5;10;0,642057481
2;Pardosa sp;P.rettgeri_vs_PBS;1;4;4;1;5;5;10;0,878235399
3;Pardosa sp;P.rettgeri_vs_PBS;2;3;3;2;5;5;10;0,642057481
4;Pardosa sp;P.rettgeri_vs_PBS;4;3;1;2;5;5;10;0,304023056
5;Pardosa sp;P.rettgeri_vs_PBS;2;4;3;1;5;5;10;0,80416286
6;Pardosa sp;P.rettgeri_vs_PBS;3;2;2;3;5;5;10;0,357942519
7;Pardosa sp;P.rettgeri_vs_PBS;1;2;3;3;4;5;9;0,602059991
8;Pardosa sp;P.rettgeri_vs_PBS;3;2;2;3;5;5;10;0,357942519
9;Pardosa sp;P.rettgeri_vs_PBS;1;3;4;2;5;5;10;0,759074466
10;Pardosa sp;P.rettgeri_vs_PBS;3;2;1;3;4;5;9;0,238943996
11;Pardosa sp;P.rettgeri_vs_PBS;3;1;2;4;5;5;10;0,240925534
12;Pardosa sp;P.rettgeri_vs_PBS;3;2;2;3;5;5;10;0,357942519
13;Pardosa sp;P.rettgeri_vs_PBS;3;1;2;4;5;5;10;0,240925534
14;Pardosa sp;P.rettgeri_vs_PBS;3;2;2;3;5;5;10;0,357942519
15;Pardosa sp;P.rettgeri_vs_PBS;3;3;2;2;5;5;10;0,5
16;Pardosa sp;P.rettgeri_vs_PBS;3;4;2;1;5;5;10;0,695976944
17;Pardosa sp;P.rettgeri_vs_PBS;3;0;2;5;5;5;10;0
18;Pardosa sp;P.rettgeri_vs_PBS;1;2;4;3;5;5;10;0,63721727
19;Pardosa sp;P.rettgeri_vs_PBS;2;2;3;3;5;5;10;0,5
20;Pardosa sp;P.rettgeri_vs_PBS;3;2;2;3;5;5;10;0,357942519
21;Pardosa sp;P.rettgeri_vs_PBS;1;3;4;2;5;5;10;0,759074466
22;Pardosa sp;P.rettgeri_vs_PBS;2;3;3;2;5;5;10;0,642057481
23;Pardosa sp;P.rettgeri_vs_PBS;4;1;1;4;5;5;10;0,121764601
24;Pardosa sp;P.rettgeri_vs_PBS;2;3;3;2;5;5;10;0,642057481
25;Pardosa sp;P.rettgeri_vs_PBS;1;3;4;2;5;5;10;0,759074466
26;Pardosa sp;P.rettgeri_vs_PBS;1;4;4;1;5;5;10;0,878235399
27;Pardosa sp;P.rettgeri_vs_PBS;4;1;1;4;5;5;10;0,121764601
28;Pardosa sp;P.rettgeri_vs_PBS;3;2;2;3;5;5;10;0,357942519
29;Pardosa sp;P.rettgeri_vs_PBS;3;2;2;3;5;5;10;0,357942519
30;Pardosa sp;P.rettgeri_vs_PBS;4;3;1;2;5;5;10;0,304023056
