Spider_ID;Species;Treatment;Time_of_tumor_induction;Cancer_eaten;Wt_eaten;Cancer_alive;Wt_alive;Total_Cancer;Total_Wt;Total_prey;ManlyAlpha
1;Salticids;Ctl vs Rasv12;10 days;2;2;3;3;5;5;10;0,5
2;Salticids;Ctl vs Rasv12;10 days;1;3;4;2;5;5;10;0,19583714
3;Salticids;Ctl vs Rasv12;10 days;3;4;2;1;5;5;10;0,36278273
4;Salticids;Ctl vs Rasv12;10 days;3;2;2;3;5;5;10;0,642057481
5;Salticids;Ctl vs Rasv12;10 days;2;2;3;3;5;5;10;0,5
6;Salticids;Ctl vs Rasv12;10 days;3;1;2;4;5;5;10;0,80416286
7;Salticids;Ctl vs Rasv12;10 days;2;3;3;2;5;5;10;0,357942519
8;Salticids;Ctl vs Rasv12;10 days;0;3;5;2;5;5;10;0
9;Salticids;Ctl vs Rasv12;10 days;2;0;3;5;5;5;10;1
10;Salticids;Ctl vs Rasv12;10 days;0;1;5;4;5;5;10;0
11;Salticids;Ctl vs Rasv12;10 days;3;1;2;4;5;5;10;0,80416286
12;Salticids;Ctl vs Rasv12;10 days;2;1;3;4;5;5;10;0,695976944
13;Salticids;Ctl vs Rasv12;10 days;4;3;1;2;5;5;10;0,63721727
14;Salticids;Ctl vs Rasv12;10 days;2;2;3;3;5;5;10;0,5
15;Salticids;Ctl vs Rasv12;10 days;1;3;4;2;5;5;10;0,19583714
16;Salticids;Ctl vs Rasv12;10 days;3;1;2;4;5;5;10;0,80416286
17;Salticids;Ctl vs Rasv12;10 days;1;0;4;5;5;5;10;1
18;Salticids;Ctl vs Rasv12;20 days;1;1;4;4;5;5;10;0,5
19;Salticids;Ctl vs Rasv12;20 days;3;3;2;2;5;5;10;0,5
20;Salticids;Ctl vs Rasv12;20 days;4;2;1;3;5;5;10;0,759074466
21;Salticids;Ctl vs Rasv12;20 days;3;2;2;3;5;5;10;0,642057481
22;Salticids;Ctl vs Rasv12;20 days;3;0;2;5;5;5;10;1
23;Salticids;Ctl vs Rasv12;20 days;1;2;4;3;5;5;10;0,304023056
24;Salticids;Ctl vs Rasv12;20 days;4;3;1;2;5;5;10;0,63721727
25;Salticids;Ctl vs Rasv12;20 days;2;2;3;3;5;5;10;0,5
26;Salticids;Ctl vs Rasv12;20 days;3;1;2;4;5;5;10;0,80416286
27;Salticids;Ctl vs Rasv12;20 days;4;0;1;5;5;5;10;1
28;Salticids;Ctl vs Rasv12;20 days;3;3;2;2;5;5;10;0,5
29;Salticids;Ctl vs Rasv12;20 days;2;2;3;3;5;5;10;0,5
30;Salticids;Ctl vs Rasv12;20 days;2;0;3;5;5;5;10;1
31;Salticids;Ctl vs Rasv12;20 days;2;3;3;2;5;5;10;0,357942519
32;Salticids;Ctl vs Rasv12;20 days;1;4;4;1;5;5;10;0,121764601
